cond,seed,axis,factor,progress
nominal,0,jump,0.7,0.1360464285714284
nominal,0,jump,0.725,0.13742063492063475
nominal,0,jump,0.75,0.1387948412698411
nominal,0,jump,0.7749999999999999,0.14016904761904744
nominal,0,jump,0.7999999999999999,0.14016904761904744
nominal,0,jump,0.825,0.26522182539682504
nominal,0,jump,0.85,0.26659603174603136
nominal,0,jump,0.875,0.6376317460317503
nominal,0,jump,0.9,0.6376317460317503
nominal,0,jump,0.925,0.6390059523809567
nominal,0,jump,0.95,0.6403801587301631
nominal,0,jump,0.9750000000000001,0.6403801587301631
nominal,0,jump,1.0,1.0
nominal,0,jump,1.025,1.0
nominal,0,jump,1.05,1.0
nominal,0,jump,1.075,1.0
nominal,0,jump,1.1,1.0
nominal,0,jump,1.125,1.0
nominal,0,jump,1.15,1.0
nominal,0,jump,1.175,0.44249444444444375
nominal,0,jump,1.2000000000000002,0.4466170634920628
nominal,0,jump,1.225,0.40951349206349147
nominal,0,jump,1.25,0.4108876984126978
nominal,0,jump,1.275,0.4493654761904755
nominal,0,jump,1.3,0.4493654761904755
nominal,1,jump,0.7,0.13329801587301573
nominal,1,jump,0.725,0.13467222222222205
nominal,1,jump,0.75,0.1360464285714284
nominal,1,jump,0.7749999999999999,0.13742063492063475
nominal,1,jump,0.7999999999999999,0.13742063492063475
nominal,1,jump,0.825,0.1387948412698411
nominal,1,jump,0.85,0.14016904761904744
nominal,1,jump,0.875,0.26659603174603136
nominal,1,jump,0.9,0.26659603174603136
nominal,1,jump,0.925,0.42188134920634857
nominal,1,jump,0.95,0.42188134920634857
nominal,1,jump,0.9750000000000001,1.0
nominal,1,jump,1.0,1.0
nominal,1,jump,1.025,1.0
nominal,1,jump,1.05,1.0
nominal,1,jump,1.075,1.0
nominal,1,jump,1.1,1.0
nominal,1,jump,1.125,1.0
nominal,1,jump,1.15,1.0
nominal,1,jump,1.175,0.44249444444444375
nominal,1,jump,1.2000000000000002,0.13054960317460304
nominal,1,jump,1.225,0.4466170634920628
nominal,1,jump,1.25,0.44799126984126914
nominal,1,jump,1.275,0.4493654761904755
nominal,1,jump,1.3,0.4493654761904755
nominal,2,jump,0.7,0.13742063492063475
nominal,2,jump,0.725,0.1387948412698411
nominal,2,jump,0.75,0.14016904761904744
nominal,2,jump,0.7749999999999999,0.2638476190476187
nominal,2,jump,0.7999999999999999,0.2638476190476187
nominal,2,jump,0.825,0.26522182539682504
nominal,2,jump,0.85,0.26659603174603136
nominal,2,jump,0.875,0.6747353174603232
nominal,2,jump,0.9,0.6747353174603232
nominal,2,jump,0.925,0.8052849206349315
nominal,2,jump,0.95,1.0
nominal,2,jump,0.9750000000000001,1.0
nominal,2,jump,1.0,1.0
nominal,2,jump,1.025,1.0
nominal,2,jump,1.05,1.0
nominal,2,jump,1.075,1.0
nominal,2,jump,1.1,1.0
nominal,2,jump,1.125,0.44249444444444375
nominal,2,jump,1.15,0.4067650793650788
nominal,2,jump,1.175,0.4081392857142851
nominal,2,jump,1.2000000000000002,0.40951349206349147
nominal,2,jump,1.225,0.24873134920634885
nominal,2,jump,1.25,0.24873134920634885
nominal,2,jump,1.275,0.24873134920634885
nominal,2,jump,1.3,0.24873134920634885
nominal,3,jump,0.7,0.1360464285714284
nominal,3,jump,0.725,0.13742063492063475
nominal,3,jump,0.75,0.1387948412698411
nominal,3,jump,0.7749999999999999,0.14016904761904744
nominal,3,jump,0.7999999999999999,0.14016904761904744
nominal,3,jump,0.825,0.26247341269841235
nominal,3,jump,0.85,0.2638476190476187
nominal,3,jump,0.875,0.26522182539682504
nominal,3,jump,0.9,0.26522182539682504
nominal,3,jump,0.925,0.26659603174603136
nominal,3,jump,0.95,0.9385829365079527
nominal,3,jump,0.9750000000000001,0.939957142857159
nominal,3,jump,1.0,1.0
nominal,3,jump,1.025,1.0
nominal,3,jump,1.05,1.0
nominal,3,jump,1.075,0.9962996031746215
nominal,3,jump,1.1,0.9990480158730344
nominal,3,jump,1.125,1.0
nominal,3,jump,1.15,1.0
nominal,3,jump,1.175,0.44249444444444375
nominal,3,jump,1.2000000000000002,0.4438686507936501
nominal,3,jump,1.225,0.4466170634920628
nominal,3,jump,1.25,0.44799126984126914
nominal,3,jump,1.275,0.4493654761904755
nominal,3,jump,1.3,0.4493654761904755
nominal,4,jump,0.7,0.1360464285714284
nominal,4,jump,0.725,0.13742063492063475
nominal,4,jump,0.75,0.1387948412698411
nominal,4,jump,0.7749999999999999,0.14016904761904744
nominal,4,jump,0.7999999999999999,0.14016904761904744
nominal,4,jump,0.825,0.2638476190476187
nominal,4,jump,0.85,0.26522182539682504
nominal,4,jump,0.875,0.26659603174603136
nominal,4,jump,0.9,0.26659603174603136
nominal,4,jump,0.925,0.6747353174603232
nominal,4,jump,0.95,1.0
nominal,4,jump,0.9750000000000001,1.0
nominal,4,jump,1.0,1.0
nominal,4,jump,1.025,1.0
nominal,4,jump,1.05,1.0
nominal,4,jump,1.075,1.0
nominal,4,jump,1.1,1.0
nominal,4,jump,1.125,1.0
nominal,4,jump,1.15,0.44249444444444375
nominal,4,jump,1.175,0.4438686507936501
nominal,4,jump,1.2000000000000002,0.44524285714285644
nominal,4,jump,1.225,0.44799126984126914
nominal,4,jump,1.25,0.4067650793650788
nominal,4,jump,1.275,0.4067650793650788
nominal,4,jump,1.3,0.4067650793650788
dr,0,jump,0.7,0.26247341269841235
dr,0,jump,0.725,0.2638476190476187
dr,0,jump,0.75,0.26522182539682504
dr,0,jump,0.7749999999999999,0.26659603174603136
dr,0,jump,0.7999999999999999,0.26659603174603136
dr,0,jump,0.825,0.42188134920634857
dr,0,jump,0.85,1.0
dr,0,jump,0.875,1.0
dr,0,jump,0.9,1.0
dr,0,jump,0.925,1.0
dr,0,jump,0.95,1.0
dr,0,jump,0.9750000000000001,1.0
dr,0,jump,1.0,1.0
dr,0,jump,1.025,1.0
dr,0,jump,1.05,1.0
dr,0,jump,1.075,1.0
dr,0,jump,1.1,1.0
dr,0,jump,1.125,1.0
dr,0,jump,1.15,0.44249444444444375
dr,0,jump,1.175,0.4438686507936501
dr,0,jump,1.2000000000000002,0.44524285714285644
dr,0,jump,1.225,0.44799126984126914
dr,0,jump,1.25,0.4067650793650788
dr,0,jump,1.275,0.4067650793650788
dr,0,jump,1.3,0.4067650793650788
dr,1,jump,0.7,0.24873134920634885
dr,1,jump,0.725,0.26522182539682504
dr,1,jump,0.75,0.26659603174603136
dr,1,jump,0.7749999999999999,0.38615198412698354
dr,1,jump,0.7999999999999999,0.38615198412698354
dr,1,jump,0.825,0.3875261904761899
dr,1,jump,0.85,0.38890039682539623
dr,1,jump,0.875,0.42188134920634857
dr,1,jump,0.9,0.42188134920634857
dr,1,jump,0.925,0.6403801587301631
dr,1,jump,0.95,1.0
dr,1,jump,0.9750000000000001,1.0
dr,1,jump,1.0,1.0
dr,1,jump,1.025,1.0
dr,1,jump,1.05,1.0
dr,1,jump,1.075,1.0
dr,1,jump,1.1,1.0
dr,1,jump,1.125,1.0
dr,1,jump,1.15,1.0
dr,1,jump,1.175,0.4411202380952374
dr,1,jump,1.2000000000000002,0.44249444444444375
dr,1,jump,1.225,0.44524285714285644
dr,1,jump,1.25,0.4466170634920628
dr,1,jump,1.275,0.44799126984126914
dr,1,jump,1.3,0.44799126984126914
dr,2,jump,0.7,0.24873134920634885
dr,2,jump,0.725,0.26522182539682504
dr,2,jump,0.75,0.26659603174603136
dr,2,jump,0.7749999999999999,0.3875261904761899
dr,2,jump,0.7999999999999999,0.3875261904761899
dr,2,jump,0.825,0.38890039682539623
dr,2,jump,0.85,0.6747353174603232
dr,2,jump,0.875,0.6747353174603232
dr,2,jump,0.9,0.6747353174603232
dr,2,jump,0.925,1.0
dr,2,jump,0.95,1.0
dr,2,jump,0.9750000000000001,1.0
dr,2,jump,1.0,1.0
dr,2,jump,1.025,1.0
dr,2,jump,1.05,1.0
dr,2,jump,1.075,1.0
dr,2,jump,1.1,1.0
dr,2,jump,1.125,1.0
dr,2,jump,1.15,1.0
dr,2,jump,1.175,0.44249444444444375
dr,2,jump,1.2000000000000002,0.4067650793650788
dr,2,jump,1.225,0.4466170634920628
dr,2,jump,1.25,0.44799126984126914
dr,2,jump,1.275,0.4493654761904755
dr,2,jump,1.3,0.4493654761904755
dr,3,jump,0.7,0.24873134920634885
dr,3,jump,0.725,0.26522182539682504
dr,3,jump,0.75,0.26659603174603136
dr,3,jump,0.7749999999999999,0.3875261904761899
dr,3,jump,0.7999999999999999,0.3875261904761899
dr,3,jump,0.825,0.38890039682539623
dr,3,jump,0.85,0.42188134920634857
dr,3,jump,0.875,0.42188134920634857
dr,3,jump,0.9,0.42188134920634857
dr,3,jump,0.925,1.0
dr,3,jump,0.95,1.0
dr,3,jump,0.9750000000000001,1.0
dr,3,jump,1.0,1.0
dr,3,jump,1.025,1.0
